product_id,product_name,category,subcategory,brand,launch_date,reorder_point,lead_time_days,product_status
P0094,Bosch Tablets 170,Electronics,Tablets,Bosch,2022-10-21,139,43,Active
P0095,Godrej Pens 470,Office Supplies,Pens,Godrej,2023-07-01,172,31,Active
P0096,HP Cabinets 376,Furniture,Cabinets,HP,2023-11-08,167,36,Active
P0097,Godrej Air Conditioners 351,Home Appliances,Air Conditioners,Godrej,2021-01-04,32,19,Active
P0098,Prestige Refrigerators 784,Home Appliances,Refrigerators,Prestige,2023-03-19,107,23,Active
P0099,Wipro Headphones 463,Electronics,Headphones,Wipro,2020-01-15,76,23,Active
P0100,VIP Files 629,Office Supplies,Files,VIP,2021-02-05,58,7,Active
P0101,Godrej Sofas 346,Furniture,Sofas,Godrej,2023-06-25,186,32,Active
P0102,Prestige Air Conditioners 326,Home Appliances,Air Conditioners,Prestige,2018-03-12,113,17,Active
P0103,Generic Markers 643,Office Supplies,Markers,Generic,2022-02-20,98,29,Active
P0104,Wipro Belts 357,Accessories,Belts,Wipro,2023-02-02,69,9,Active
P0105,LG Shelves 806,Furniture,Shelves,LG,2024-01-04,57,14,Active
P0106,Philips Sofas 878,Furniture,Sofas,Philips,2021-02-06,144,40,Active
P0107,Dell Pens 283,Office Supplies,Pens,Dell,2021-04-28,87,2,Active
P0108,Sony Wallets 666,Accessories,Wallets,Sony,2018-07-06,84,10,Active
P0109,Samsung Microwaves 551,Home Appliances,Microwaves,Samsung,2021-03-10,97,13,Active
P0110,Philips Tablets 510,Electronics,Tablets,Philips,2019-04-13,135,6,Active
P0111,Fastrack Caps 930,Accessories,Caps,Fastrack,2018-08-08,154,21,Active
P0112,LG Smartphones 720,Electronics,Smartphones,LG,2024-04-04,162,41,Active
P0113,Godrej Tables 404,Furniture,Tables,Godrej,2023-01-20,160,29,Active
P0114,Generic Files 857,Office Supplies,Files,Generic,2018-09-04,35,15,Active
P0115,Fastrack Shelves 277,Furniture,Shelves,Fastrack,2018-11-29,151,6,Active
P0116,Godrej Office Chairs 581,Furniture,Office Chairs,Godrej,2023-01-20,84,4,Active
P0117,VIP Shelves 564,Furniture,Shelves,VIP,2021-03-04,28,45,Active
P0118,Prestige Shelves 657,Furniture,Shelves,Prestige,2020-03-21,67,43,Active
P0119,HP Shelves 911,Furniture,Shelves,HP,2018-10-20,88,40,Discontinued
P0120,Philips Belts 411,Accessories,Belts,Philips,2019-05-25,189,27,Active
P0121,Bosch Files 712,Office Supplies,Files,Bosch,2023-07-16,20,29,Active
P0122,Sony Files 790,Office Supplies,Files,Sony,2018-04-16,157,39,Active
P0123,Fastrack Monitors 881,Electronics,Monitors,Fastrack,2021-01-08,54,32,Active
P0124,Philips Caps 699,Accessories,Caps,Philips,2021-02-13,121,42,Active
P0125,Philips Microwaves 428,Home Appliances,Microwaves,Philips,2021-11-26,181,8,Active
P0126,Godrej Shelves 510,Furniture,Shelves,Godrej,2023-07-23,150,4,Active
P0127,Wipro Microwaves 891,Home Appliances,Microwaves,Wipro,2020-10-30,113,34,Active
P0128,Bosch Printers 292,Electronics,Printers,Bosch,2023-03-08,142,25,Active
P0129,Fastrack Watches 308,Accessories,Watches,Fastrack,2022-12-16,78,37,Active
P0130,Philips Shelves 745,Furniture,Shelves,Philips,2023-06-09,165,17,Active
P0131,Bosch Shelves 195,Furniture,Shelves,Bosch,2018-02-26,67,9,Active
P0132,Fastrack Microwaves 833,Home Appliances,Microwaves,Fastrack,2019-09-23,84,34,Active
P0133,Philips Paper 664,Office Supplies,Paper,Philips,2023-04-19,47,26,Active
P0134,Bosch Tables 382,Furniture,Tables,Bosch,2019-07-14,116,23,Active
P0135,Samsung Belts 957,Accessories,Belts,Samsung,2021-03-04,160,39,Active
P0136,Philips Refrigerators 440,Home Appliances,Refrigerators,Philips,2024-01-16,151,36,Active
P0137,Wipro Air Conditioners 344,Home Appliances,Air Conditioners,Wipro,2020-02-12,156,26,Active
P0138,Samsung Cabinets 822,Furniture,Cabinets,Samsung,2021-07-27,107,26,Active
P0139,Samsung Cabinets 704,Furniture,Cabinets,Samsung,2019-06-02,94,8,Active
P0140,Bosch Microwaves 247,Home Appliances,Microwaves,Bosch,2023-02-15,114,43,Discontinued
P0141,Philips Office Chairs 809,Furniture,Office Chairs,Philips,2020-12-21,111,43,Active
P0142,Wipro Monitors 424,Electronics,Monitors,Wipro,2023-12-26,170,33,Active
P0143,Generic Bags 800,Accessories,Bags,Generic,2018-10-08,83,16,Active
P0144,LG Headphones 810,Electronics,Headphones,LG,2019-02-16,86,3,Active
P0145,Prestige Tablets 483,Electronics,Tablets,Prestige,2018-08-18,120,11,Active
P0146,Godrej Tables 284,Furniture,Tables,Godrej,2024-05-07,53,13,Active
P0147,Godrej Cameras 697,Electronics,Cameras,Godrej,2020-09-13,46,16,Active
P0148,Sony Mixers 109,Home Appliances,Mixers,Sony,2023-02-26,129,20,Active
P0149,LG Wallets 701,Accessories,Wallets,LG,2022-12-15,86,42,Active
P0150,Sony Mixers 303,Home Appliances,Mixers,Sony,2023-02-15,108,32,Active
P0151,Godrej Smartphones 402,Electronics,Smartphones,Godrej,2024-05-31,189,20,Active
P0152,Fastrack Monitors 679,Electronics,Monitors,Fastrack,2022-06-10,185,5,Active
P0153,Philips Caps 335,Accessories,Caps,Philips,2021-03-18,165,24,Active
P0154,Dell Sofas 838,Furniture,Sofas,Dell,2020-10-23,178,45,Active
P0155,LG Sofas 551,Furniture,Sofas,LG,2018-06-11,18,39,Active
P0156,HP Markers 434,Office Supplies,Markers,HP,2019-01-05,116,13,Active
P0157,Prestige Desks 474,Furniture,Desks,Prestige,2024-01-19,145,34,Active
P0158,HP Scissors 593,Office Supplies,Scissors,HP,2020-11-18,85,23,Active
P0159,LG Headphones 331,Electronics,Headphones,LG,2019-07-31,183,45,Active
P0160,Wipro Fans 114,Home Appliances,Fans,Wipro,2019-01-05,77,36,Active
P0161,Wipro Headphones 942,Electronics,Headphones,Wipro,2020-12-09,173,25,Active
P0162,Dell Printers 674,Electronics,Printers,Dell,2023-04-16,93,41,Discontinued
P0163,LG Sofas 409,Furniture,Sofas,LG,2023-03-17,176,28,Active
P0164,Samsung Smartphones 604,Electronics,Smartphones,Samsung,2018-06-02,39,8,Active
P0165,HP Tables 786,Furniture,Tables,HP,2022-05-11,200,36,Active
P0166,VIP Fans 770,Home Appliances,Fans,VIP,2019-09-25,35,33,Active
P0167,Sony Watches 322,Accessories,Watches,Sony,2018-05-15,123,30,Active
P0168,LG Shelves 760,Furniture,Shelves,LG,2022-02-13,101,5,Active
P0169,Dell Washing Machines 943,Home Appliances,Washing Machines,Dell,2019-05-16,126,7,Active
P0170,Fastrack Sofas 441,Furniture,Sofas,Fastrack,2018-03-29,72,10,Discontinued
P0171,LG Wallets 321,Accessories,Wallets,LG,2024-03-20,69,23,Active
P0172,Samsung Tables 248,Furniture,Tables,Samsung,2021-02-09,43,36,Active
P0173,HP Scissors 126,Office Supplies,Scissors,HP,2019-03-27,43,2,Active
P0174,Prestige Scissors 116,Office Supplies,Scissors,Prestige,2020-09-01,54,18,Active
P0175,VIP Smartphones 863,Electronics,Smartphones,VIP,2022-09-21,26,32,Active
P0176,Bosch Washing Machines 326,Home Appliances,Washing Machines,Bosch,2019-03-23,167,4,Active
P0177,Philips Belts 590,Accessories,Belts,Philips,2018-05-08,112,29,Discontinued
P0178,VIP Headphones 182,Electronics,Headphones,VIP,2022-12-22,92,40,Discontinued
P0179,HP Office Chairs 699,Furniture,Office Chairs,HP,2021-01-31,150,22,Active
P0180,Bosch Fans 719,Home Appliances,Fans,Bosch,2021-04-22,120,8,Active
P0181,Fastrack Monitors 320,Electronics,Monitors,Fastrack,2024-03-08,120,30,Active
P0182,Wipro Cabinets 847,Furniture,Cabinets,Wipro,2023-02-01,34,22,Active
P0183,Fastrack Washing Machines 256,Home Appliances,Washing Machines,Fastrack,2020-11-10,185,32,Active
P0184,LG Laptops 862,Electronics,Laptops,LG,2019-01-17,199,25,Active
P0185,Samsung Tables 786,Furniture,Tables,Samsung,2024-04-19,41,28,Active
P0186,Fastrack Scissors 838,Office Supplies,Scissors,Fastrack,2022-09-29,23,20,Active
P0187,Wipro Belts 317,Accessories,Belts,Wipro,2019-03-01,49,44,Active
P0188,LG Refrigerators 476,Home Appliances,Refrigerators,LG,2021-12-05,39,19,Active
P0189,Prestige Wallets 885,Accessories,Wallets,Prestige,2022-10-24,169,41,Active
P0190,Generic Bags 379,Accessories,Bags,Generic,2020-12-31,189,21,Discontinued
P0191,Samsung Staplers 679,Office Supplies,Staplers,Samsung,2020-01-14,178,27,Active
P0192,VIP Smartphones 643,Electronics,Smartphones,VIP,2018-05-06,65,26,Active
P0193,Wipro Air Conditioners 838,Home Appliances,Air Conditioners,Wipro,2019-10-07,93,38,Active
P0194,Samsung Bags 732,Accessories,Bags,Samsung,2019-09-30,22,45,Active
P0195,Philips Tablets 552,Electronics,Tablets,Philips,2022-10-03,116,19,Active
P0196,LG Tables 390,Furniture,Tables,LG,2021-11-14,183,45,Active
P0197,Bosch Watches 504,Accessories,Watches,Bosch,2021-06-17,163,5,Discontinued
P0198,Sony Smartphones 882,Electronics,Smartphones,Sony,2020-05-15,75,20,Active
P0199,Samsung Pens 279,Office Supplies,Pens,Samsung,2023-07-31,43,26,Active
P0200,Dell Caps 784,Accessories,Caps,Dell,2023-08-12,100,6,Active
P0201,Samsung Mixers 179,Home Appliances,Mixers,Samsung,2022-11-22,90,38,Discontinued
P0202,Godrej Fans 514,Home Appliances,Fans,Godrej,2022-09-07,15,22,Active
P0203,Philips Tables 964,Furniture,Tables,Philips,2022-01-22,37,17,Active
P0204,Godrej Fans 991,Home Appliances,Fans,Godrej,2023-11-17,89,23,Discontinued
P0205,Prestige Shelves 748,Furniture,Shelves,Prestige,2019-11-20,39,35,Discontinued
P0206,Prestige Wallets 938,Accessories,Wallets,Prestige,2021-12-02,175,11,Active
P0207,HP Office Chairs 716,Furniture,Office Chairs,HP,2020-11-14,49,43,Active
P0208,Prestige Smartphones 677,Electronics,Smartphones,Prestige,2023-07-17,158,30,Active
P0209,Fastrack Caps 742,Accessories,Caps,Fastrack,2021-08-16,90,11,Active
P0210,Philips Microwaves 915,Home Appliances,Microwaves,Philips,2022-12-17,80,39,Active
P0211,Bosch Tablets 562,Electronics,Tablets,Bosch,2018-10-31,19,5,Active
P0212,Sony Scissors 975,Office Supplies,Scissors,Sony,2018-11-11,33,41,Active
P0213,Godrej Sunglasses 910,Accessories,Sunglasses,Godrej,2023-03-11,199,4,Active
P0214,Fastrack Fans 587,Home Appliances,Fans,Fastrack,2020-02-11,138,11,Active
P0215,LG Headphones 186,Electronics,Headphones,LG,2021-11-07,139,43,Active
P0216,Dell Office Chairs 636,Furniture,Office Chairs,Dell,2022-11-29,143,41,Active
P0217,Wipro Shelves 893,Furniture,Shelves,Wipro,2021-03-04,96,45,Active
P0218,Prestige Bags 196,Accessories,Bags,Prestige,2021-10-02,152,45,Discontinued
P0219,Sony Washing Machines 696,Home Appliances,Washing Machines,Sony,2019-09-08,179,11,Active
P0220,Fastrack Staplers 825,Office Supplies,Staplers,Fastrack,2022-05-25,31,21,Active
P0221,Fastrack Watches 786,Accessories,Watches,Fastrack,2021-09-07,189,45,Active
P0222,Fastrack Bags 118,Accessories,Bags,Fastrack,2022-10-01,102,21,Active
P0223,Wipro Desks 240,Furniture,Desks,Wipro,2023-06-15,49,6,Active
P0224,Prestige Scissors 652,Office Supplies,Scissors,Prestige,2019-02-19,199,35,Active
P0225,Wipro Printers 257,Electronics,Printers,Wipro,2019-06-21,51,13,Active
P0226,VIP Wallets 473,Accessories,Wallets,VIP,2022-11-28,183,17,Discontinued
P0227,Sony Fans 344,Home Appliances,Fans,Sony,2023-01-13,89,32,Active
P0228,Fastrack Shelves 572,Furniture,Shelves,Fastrack,2024-05-25,82,26,Active
P0229,Godrej Sunglasses 920,Accessories,Sunglasses,Godrej,2019-10-26,164,10,Active
P0230,Fastrack Pens 667,Office Supplies,Pens,Fastrack,2023-05-23,36,35,Active
P0231,LG Tablets 625,Electronics,Tablets,LG,2019-10-19,47,29,Active
P0232,Philips Smartphones 524,Electronics,Smartphones,Philips,2021-12-02,23,27,Active
P0233,Dell Belts 483,Accessories,Belts,Dell,2022-05-01,67,3,Active
P0234,VIP Pens 240,Office Supplies,Pens,VIP,2021-10-05,19,20,Active
P0235,HP Mixers 105,Home Appliances,Mixers,HP,2023-04-06,30,3,Active
P0236,HP Notebooks 723,Office Supplies,Notebooks,HP,2024-02-26,145,29,Active
P0237,Sony Monitors 148,Electronics,Monitors,Sony,2020-08-31,71,28,Active
P0238,LG Watches 611,Accessories,Watches,LG,2019-03-31,162,36,Active
P0239,Bosch Printers 398,Electronics,Printers,Bosch,2020-09-17,119,2,Active
P0240,Dell Belts 780,Accessories,Belts,Dell,2024-05-26,181,7,Active
P0241,LG Belts 905,Accessories,Belts,LG,2023-11-25,139,37,Active
P0242,Philips Headphones 482,Electronics,Headphones,Philips,2018-06-28,74,3,Active
P0243,LG Scissors 772,Office Supplies,Scissors,LG,2021-11-13,170,8,Active
P0244,Prestige Caps 460,Accessories,Caps,Prestige,2021-09-23,149,23,Active
P0245,Philips Sofas 930,Furniture,Sofas,Philips,2023-05-15,44,6,Active
P0246,Sony Microwaves 304,Home Appliances,Microwaves,Sony,2020-04-05,20,22,Discontinued
P0247,Godrej Files 137,Office Supplies,Files,Godrej,2024-02-03,175,14,Active
P0248,Prestige Staplers 439,Office Supplies,Staplers,Prestige,2018-07-15,79,9,Active
P0249,Godrej Paper 495,Office Supplies,Paper,Godrej,2022-12-07,96,13,Active
P0250,Philips Mixers 631,Home Appliances,Mixers,Philips,2022-02-13,78,7,Active
P0251,Godrej Microwaves 428,Home Appliances,Microwaves,Godrej,2020-01-10,36,7,Active
P0252,Sony Markers 834,Office Supplies,Markers,Sony,2021-06-09,119,12,Active
P0253,Philips Washing Machines 461,Home Appliances,Washing Machines,Philips,2018-06-23,167,29,Active
P0254,Prestige Markers 752,Office Supplies,Markers,Prestige,2018-08-23,113,25,Discontinued
P0255,Fastrack Caps 246,Accessories,Caps,Fastrack,2019-10-18,165,45,Active
P0256,HP Microwaves 760,Home Appliances,Microwaves,HP,2018-10-03,103,25,Active
P0257,Samsung Fans 479,Home Appliances,Fans,Samsung,2019-09-21,105,30,Active
P0258,HP Cameras 421,Electronics,Cameras,HP,2023-12-09,176,19,Active
P0259,Samsung Office Chairs 496,Furniture,Office Chairs,Samsung,2020-02-02,153,9,Active
P0260,Sony Scissors 726,Office Supplies,Scissors,Sony,2023-01-02,83,33,Active
P0261,HP Office Chairs 830,Furniture,Office Chairs,HP,2018-10-31,123,7,Active
P0262,Wipro Markers 397,Office Supplies,Markers,Wipro,2018-09-23,86,12,Active
P0263,Bosch Shelves 305,Furniture,Shelves,Bosch,2020-07-07,45,17,Active
P0264,Wipro Microwaves 578,Home Appliances,Microwaves,Wipro,2024-03-19,151,10,Active
P0265,LG Bags 834,Accessories,Bags,LG,2021-06-20,194,32,Active
P0266,Prestige Watches 175,Accessories,Watches,Prestige,2022-08-05,42,22,Active
P0267,Philips Headphones 999,Electronics,Headphones,Philips,2023-10-21,151,42,Active
P0268,Prestige Wallets 989,Accessories,Wallets,Prestige,2019-06-13,24,9,Active
P0269,Sony Wallets 826,Accessories,Wallets,Sony,2019-11-06,67,24,Active
P0270,LG Belts 664,Accessories,Belts,LG,2020-10-23,80,10,Active
P0271,Bosch Files 272,Office Supplies,Files,Bosch,2019-01-18,161,39,Active
P0272,Fastrack Desks 677,Furniture,Desks,Fastrack,2021-10-14,20,3,Active
P0273,Fastrack Laptops 885,Electronics,Laptops,Fastrack,2020-12-20,156,28,Active
P0274,Samsung Caps 658,Accessories,Caps,Samsung,2023-08-02,84,43,Active
P0275,Dell Paper 174,Office Supplies,Paper,Dell,2022-07-22,186,5,Active
P0276,Godrej Cabinets 448,Furniture,Cabinets,Godrej,2023-06-07,165,11,Active
P0277,VIP Scissors 981,Office Supplies,Scissors,VIP,2021-07-31,98,27,Active
P0278,Bosch Shelves 347,Furniture,Shelves,Bosch,2024-04-19,129,9,Active
P0279,Dell Paper 397,Office Supplies,Paper,Dell,2019-08-01,108,41,Active
P0280,HP Refrigerators 838,Home Appliances,Refrigerators,HP,2021-09-03,90,14,Active
P0281,Bosch Cabinets 415,Furniture,Cabinets,Bosch,2023-03-28,137,3,Active
P0282,Bosch Headphones 320,Electronics,Headphones,Bosch,2023-02-16,159,24,Active
P0283,Sony Laptops 963,Electronics,Laptops,Sony,2023-07-21,177,45,Active
P0284,Bosch Washing Machines 541,Home Appliances,Washing Machines,Bosch,2018-02-03,44,18,Active
P0285,Godrej Scissors 152,Office Supplies,Scissors,Godrej,2022-02-07,155,37,Discontinued
P0286,Bosch Shelves 616,Furniture,Shelves,Bosch,2021-03-28,125,37,Discontinued
P0287,Generic Scissors 199,Office Supplies,Scissors,Generic,2019-05-02,110,25,Active
P0288,Wipro Files 621,Office Supplies,Files,Wipro,2019-08-14,112,34,Active
P0289,Samsung Laptops 923,Electronics,Laptops,Samsung,2019-07-16,131,35,Active
P0290,Generic Refrigerators 727,Home Appliances,Refrigerators,Generic,2023-10-13,91,12,Active
P0291,VIP Fans 619,Home Appliances,Fans,VIP,2021-05-10,140,36,Active
P0292,Generic Mixers 117,Home Appliances,Mixers,Generic,2021-05-12,104,23,Active
P0293,Generic Headphones 842,Electronics,Headphones,Generic,2021-06-14,186,42,Active
P0294,Philips Cameras 901,Electronics,Cameras,Philips,2020-12-23,158,38,Active
P0295,Samsung Sofas 744,Furniture,Sofas,Samsung,2023-05-22,194,41,Active
P0296,Fastrack Refrigerators 817,Home Appliances,Refrigerators,Fastrack,2020-09-19,38,14,Discontinued
P0297,Wipro Headphones 807,Electronics,Headphones,Wipro,2022-09-12,62,28,Active
P0298,Philips Sunglasses 631,Accessories,Sunglasses,Philips,2018-09-13,63,37,Active
P0299,Philips Markers 277,Office Supplies,Markers,Philips,2023-11-23,127,36,Active
P0300,Wipro Files 296,Office Supplies,Files,Wipro,2020-12-18,73,19,Active
P0301,Dell Belts 821,Accessories,Belts,Dell,2021-05-04,63,33,Active
P0302,Wipro Paper 914,Office Supplies,Paper,Wipro,2024-04-14,194,19,Active
P0303,Generic Pens 504,Office Supplies,Pens,Generic,2024-02-03,98,11,Active
P0304,Sony Pens 552,Office Supplies,Pens,Sony,2018-11-20,177,18,Active
P0305,Dell Refrigerators 675,Home Appliances,Refrigerators,Dell,2024-01-16,188,19,Active
P0306,Generic Office Chairs 785,Furniture,Office Chairs,Generic,2020-09-07,145,16,Active
P0307,LG Office Chairs 583,Furniture,Office Chairs,LG,2022-08-20,35,45,Active
P0308,Bosch Office Chairs 999,Furniture,Office Chairs,Bosch,2019-10-09,131,32,Active
P0309,Wipro Shelves 887,Furniture,Shelves,Wipro,2021-03-15,32,43,Active
P0310,Bosch Wallets 279,Accessories,Wallets,Bosch,2018-06-02,116,13,Active
P0311,Godrej Monitors 866,Electronics,Monitors,Godrej,2023-07-23,84,4,Active
P0312,Generic Tablets 443,Electronics,Tablets,Generic,2019-03-16,82,31,Active
P0313,Philips Sunglasses 579,Accessories,Sunglasses,Philips,2019-07-04,79,14,Active
P0314,HP Tablets 835,Electronics,Tablets,HP,2023-02-23,57,2,Active
P0315,Sony Scissors 297,Office Supplies,Scissors,Sony,2024-05-14,54,41,Active
P0316,Bosch Air Conditioners 785,Home Appliances,Air Conditioners,Bosch,2021-09-05,34,13,Active
